Date,Open,High,Low,Close,Volume
06/13/2023,"8.8300","8.9900","8.7600","8.8800","1,709,590"
06/12/2023,"8.7500","8.8300","8.5293","8.7500","2,593,848"
06/09/2023,"8.5000","8.8350","8.4850","8.7300","3,710,412"
06/08/2023,"8.5700","8.5800","8.1250","8.5200","3,728,490"
06/07/2023,"8.3000","8.6000","8.2000","8.5500","3,405,806"
06/06/2023,"8.0000","8.2100","7.9100","8.1700","2,391,692"
06/05/2023,"7.9200","8.1300","7.8201","8.0000","3,271,496"
06/02/2023,"7.6800","8.0600","7.6700","7.9700","3,315,622"
06/01/2023,"7.6500","7.7550","7.4500","7.5000","3,634,482"
05/31/2023,"7.8200","7.9400","7.5501","7.6400","3,664,739"
05/30/2023,"8.0700","8.1950","7.8200","7.8800","2,727,189"
05/26/2023,"8.0000","8.1550","7.8600","8.0200","3,349,761"
05/25/2023,"8.2200","8.3500","8.0000","8.0600","6,521,056"
05/24/2023,"9.4810","9.6800","7.2900","8.3300","23,260,039"
05/23/2023,"9.8400","10.3100","9.8200","10.1800","4,355,862"
05/22/2023,"9.7400","10.2100","9.7200","9.9600","4,550,500"
05/19/2023,"10.0800","10.0800","9.6050","9.7000","3,185,023"
05/18/2023,"10.1300","10.3100","9.9600","10.1100","3,243,727"
05/17/2023,"9.9100","10.2600","9.6800","10.1500","2,887,631"
05/16/2023,"10.5300","10.5300","9.8300","9.8700","2,714,561"
05/15/2023,"10.7300","10.7300","10.4500","10.6900","1,809,606"
05/12/2023,"10.6000","10.7600","10.4500","10.7300","4,024,973"
05/11/2023,"10.1900","10.5800","10.1150","10.5700","2,264,837"
05/10/2023,"10.1000","10.2200","9.8200","10.1600","2,121,222"
05/09/2023,"10.1000","10.1700","9.9200","9.9500","1,820,591"
05/08/2023,"10.1200","10.3100","9.7800","10.2000","2,036,320"
05/05/2023,"10.2800","10.4000","10.0750","10.1200","2,483,300"
05/04/2023,"10.0200","10.2700","9.8800","10.1400","2,232,844"
05/03/2023,"9.8700","10.4400","9.7950","10.1800","2,143,062"
05/02/2023,"9.8300","9.9200","9.6100","9.9000","1,334,695"
05/01/2023,"9.9300","9.9300","9.6900","9.8700","1,462,828"
04/28/2023,"9.6800","10.0700","9.6400","9.9600","2,250,290"
04/27/2023,"9.6700","9.7600","9.5250","9.7300","1,379,366"
04/26/2023,"9.4100","9.7154","9.3500","9.6000","1,316,099"
04/25/2023,"9.8200","9.8200","9.3700","9.4200","1,751,689"
04/24/2023,"9.6500","9.9100","9.5700","9.9000","1,627,844"
04/21/2023,"9.7800","9.8900","9.6250","9.6800","1,248,914"
04/20/2023,"9.6400","9.9000","9.5900","9.8100","1,558,098"
04/19/2023,"9.4500","9.7200","9.3800","9.7200","2,009,332"
04/18/2023,"9.6800","9.7700","9.4700","9.6300","3,500,449"
04/17/2023,"9.6000","9.8800","9.5200","9.6300","3,514,961"
04/14/2023,"9.3500","9.6700","9.3300","9.5400","2,319,706"
04/13/2023,"9.3300","9.4300","9.2200","9.3400","1,728,153"
04/12/2023,"9.3500","9.3793","9.1050","9.2400","2,137,165"
