Date,Open,High,Low,Close,Volume
07/17/2023,"345.68","346.99","342.20","345.73","20,363,930"
07/14/2023,"347.59","351.43","344.31","345.24","28,352,730"
07/13/2023,"339.56","343.74","339.02","342.66","20,567,160"
07/12/2023,"336.60","341.65","335.67","337.20","29,995,260"
07/11/2023,"331.06","332.86","327.00","332.47","26,698,221"
07/10/2023,"334.60","335.23","327.59","331.83","32,791,449"
07/07/2023,"339.32","341.79","337.00","337.22","21,214,820"
07/06/2023,"337.30","342.99","335.50","341.27","28,195,529"
07/05/2023,"335.09","341.65","334.73","338.15","18,172,381"
07/03/2023,"339.19","340.90","336.57","337.99","12,484,240"
06/30/2023,"337.75","342.73","337.20","340.54","26,832,760"
06/29/2023,"334.71","336.11","332.62","335.05","16,997,039"
06/28/2023,"334.66","337.98","333.81","335.85","20,259,520"
06/27/2023,"331.86","336.15","329.30","334.57","24,354,109"
06/26/2023,"333.72","336.11","328.49","328.60","21,520,580"
06/23/2023,"334.36","337.96","333.45","335.02","23,146,900"
06/22/2023,"334.12","340.12","333.34","339.71","23,556,760"
06/21/2023,"336.37","337.73","332.07","333.56","25,117,801"
06/20/2023,"339.31","342.08","335.86","338.05","26,375,410"
06/16/2023,"351.32","351.47","341.95","342.33","46,551,992"
06/15/2023,"337.48","349.84","337.20","348.10","38,899,078"
06/14/2023,"334.34","339.04","332.81","337.34","26,003,789"
06/13/2023,"334.47","336.98","330.39","334.29","22,951,279"
06/12/2023,"328.58","332.10","325.16","331.85","24,306,750"
06/09/2023,"324.99","329.99","324.41","326.79","22,528,949"
06/08/2023,"323.94","326.64","323.35","325.26","23,277,711"
06/07/2023,"331.65","334.49","322.50","323.38","40,717,129"
06/06/2023,"335.33","335.37","332.17","333.68","20,396,221"
06/05/2023,"335.22","338.56","334.66","335.94","21,307,051"
06/02/2023,"334.25","337.50","332.55","335.40","25,873,770"
06/01/2023,"325.93","333.53","324.72","332.58","26,773,850"
05/31/2023,"332.29","335.94","327.33","328.39","45,950,551"
05/30/2023,"335.23","335.74","330.52","331.21","29,503,070"
05/26/2023,"324.02","333.40","323.88","332.89","36,630,633"
05/25/2023,"323.24","326.90","320.00","325.92","43,301,738"
05/24/2023,"314.73","316.50","312.61","313.85","23,384,891"
05/23/2023,"320.03","322.72","315.25","315.26","30,797,170"
05/22/2023,"318.60","322.59","318.01","321.18","24,115,660"
05/19/2023,"316.74","318.75","316.37","318.34","27,546,699"
05/18/2023,"314.53","319.04","313.72","318.52","27,275,990"
05/17/2023,"312.29","314.43","310.74","314.00","24,315,010"
05/16/2023,"309.83","313.71","309.83","311.74","26,730,350"
05/15/2023,"309.10","309.91","307.59","309.46","16,336,550"
05/12/2023,"310.55","310.65","306.60","308.97","19,774,699"
05/11/2023,"310.10","311.12","306.26","310.11","31,680,180"
05/10/2023,"308.62","313.00","307.67","312.31","30,078,039"
05/09/2023,"308.00","310.04","306.31","307.00","21,340,830"
05/08/2023,"310.13","310.20","306.09","308.65","21,318,609"
05/05/2023,"305.72","311.97","304.27","310.65","28,197,051"
05/04/2023,"306.24","307.76","303.40","305.41","22,519,910"
