Date,Open,High,Low,Close,Volume
03/01/2023,"29.79","30.08","29.36","29.57","679,061"
02/28/2023,"29.35","29.97","29.17","29.86","1,169,081"
02/27/2023,"29.26","29.46","28.63","29.32","674,105"
02/24/2023,"28.48","28.97","28.16","28.75","801,595"
02/23/2023,"30.42","30.60","28.79","29.56","894,321"
02/22/2023,"29.80","30.29","29.43","29.62","1,058,736"
02/21/2023,"29.53","29.98","29.05","29.47","1,006,346"
02/17/2023,"30.35","30.55","29.10","30.49","1,342,597"
02/16/2023,"30.55","32.11","29.70","30.66","1,679,469"
02/15/2023,"30.50","31.82","30.25","31.60","1,274,053"
02/14/2023,"29.29","30.95","29.00","30.39","1,455,024"
02/13/2023,"29.17","30.38","28.95","29.97","853,161"
02/10/2023,"29.44","30.07","28.74","28.96","1,252,531"
02/09/2023,"31.22","31.39","29.82","30.10","837,552"
02/08/2023,"31.08","31.64","30.50","30.59","741,046"
02/07/2023,"30.52","31.29","29.92","31.17","915,370"
02/06/2023,"30.66","31.00","30.18","30.47","1,045,393"
02/03/2023,"30.74","32.56","30.31","31.31","2,571,680"
02/02/2023,"32.47","33.77","31.43","32.11","4,239,016"
02/01/2023,"30.00","31.11","29.15","30.81","1,199,645"
01/31/2023,"28.73","30.04","28.67","29.79","973,680"
01/30/2023,"28.81","29.48","28.53","28.70","1,300,049"
01/27/2023,"28.38","30.13","28.16","29.40","2,094,637"
01/26/2023,"28.00","28.58","27.00","28.37","1,600,296"
01/25/2023,"25.55","27.43","24.83","27.34","1,520,506"
01/24/2023,"27.53","29.07","26.28","26.52","1,581,065"
01/23/2023,"27.95","28.92","27.40","28.87","1,377,579"
01/20/2023,"28.14","28.26","27.56","27.86","2,486,260"
01/19/2023,"26.46","27.14","26.17","26.38","898,075"
01/18/2023,"28.14","28.42","26.83","26.92","1,071,461"
01/17/2023,"27.67","28.04","27.00","27.72","953,592"
01/13/2023,"26.80","28.12","26.80","27.72","789,824"
01/12/2023,"26.48","27.33","25.36","27.29","832,025"
01/11/2023,"25.98","26.43","25.62","26.24","1,064,454"
01/10/2023,"24.41","25.59","23.85","25.58","853,071"
